PassengerId,Survived,Age,SibSp,Parch,Fare,NameLength,HasCabin,Pclass_1,Pclass_2,Pclass_3,Sex_female,Sex_male,Embarked_C,Embarked_Q,Embarked_S
47,0,29.69911764705882,1,0,15.5,17,0,0,0,1,0,1,0,1,0
48,1,29.69911764705882,0,0,7.75,25,0,0,0,1,1,0,0,1,0
49,0,29.69911764705882,2,0,21.6792,19,0,0,0,1,0,1,1,0,0
50,0,18.0,1,0,17.8,45,0,0,0,1,1,0,0,0,1
51,0,7.0,4,1,39.6875,26,0,0,0,1,0,1,0,0,1
52,0,21.0,0,0,7.8,28,0,0,0,1,0,1,0,0,1
53,1,49.0,1,0,76.7292,40,1,1,0,0,1,0,1,0,0
54,1,29.0,1,0,26.0,50,0,0,1,0,1,0,0,0,1
55,0,65.0,0,1,61.9792,30,1,1,0,0,0,1,1,0,0
56,1,29.69911764705882,0,0,35.5,17,1,1,0,0,0,1,0,0,1
57,1,21.0,0,0,10.5,17,0,0,1,0,1,0,0,0,1
58,0,28.5,0,0,7.2292,19,0,0,0,1,0,1,1,0,0
59,1,5.0,1,2,27.75,28,0,0,1,0,1,0,0,0,1
60,0,11.0,5,2,46.9,34,0,0,0,1,0,1,0,0,1
61,0,22.0,0,0,7.2292,21,0,0,0,1,0,1,1,0,0
62,1,38.0,0,0,80.0,19,1,1,0,0,1,0,0,0,0
63,0,45.0,1,0,83.475,27,1,1,0,0,0,1,0,0,1
64,0,4.0,3,2,27.9,21,0,0,0,1,0,1,0,0,1
65,0,29.69911764705882,0,0,27.7208,21,0,1,0,0,0,1,1,0,0
66,1,29.69911764705882,1,1,15.2458,24,0,0,0,1,0,1,1,0,0
67,1,29.0,0,0,10.5,28,1,0,1,0,1,0,0,0,1
68,0,19.0,0,0,8.1583,24,0,0,0,1,0,1,0,0,1
69,1,17.0,4,2,7.925,31,0,0,0,1,1,0,0,0,1
70,0,26.0,2,0,8.6625,17,0,0,0,1,0,1,0,0,1
71,0,32.0,0,0,10.5,26,0,0,1,0,0,1,0,0,1
72,0,16.0,5,2,46.9,26,0,0,0,1,1,0,0,0,1
73,0,21.0,0,0,73.5,20,0,0,1,0,0,1,0,0,1
74,0,26.0,1,0,14.4542,27,0,0,0,1,0,1,1,0,0
75,1,32.0,0,0,56.4958,13,0,0,0,1,0,1,0,0,1
76,0,25.0,0,0,7.65,23,1,0,0,1,0,1,0,0,1
77,0,29.69911764705882,0,0,7.8958,17,0,0,0,1,0,1,0,0,1
78,0,29.69911764705882,0,0,8.05,24,0,0,0,1,0,1,0,0,1
79,1,0.83,0,2,29.0,29,0,0,1,0,0,1,0,0,1
80,1,30.0,0,0,12.475,24,0,0,0,1,1,0,0,0,1
81,0,22.0,0,0,9.0,20,0,0,0,1,0,1,0,0,1
82,1,29.0,0,0,9.5,27,0,0,0,1,0,1,0,0,1
83,1,29.69911764705882,0,0,7.7875,30,0,0,0,1,1,0,0,1,0
84,0,28.0,0,0,47.1,23,0,1,0,0,0,1,0,0,1
85,1,17.0,0,0,10.5,19,0,0,1,0,1,0,0,0,1
86,1,33.0,3,0,15.85,55,0,0,0,1,1,0,0,0,1
87,0,16.0,1,3,34.375,22,0,0,0,1,0,1,0,0,1
88,0,29.69911764705882,0,0,8.05,29,0,0,0,1,0,1,0,0,1
89,1,23.0,3,2,263.0,26,1,1,0,0,1,0,0,0,1
90,0,24.0,0,0,8.05,22,0,0,0,1,0,1,0,0,1
91,0,29.0,0,0,8.05,20,0,0,0,1,0,1,0,0,1
92,0,20.0,0,0,7.8542,26,0,0,0,1,0,1,0,0,1
93,0,46.0,1,0,61.175,27,1,1,0,0,0,1,0,0,1
94,0,26.0,1,2,20.575,23,0,0,0,1,0,1,0,0,1
95,0,59.0,0,0,7.25,17,0,0,0,1,0,1,0,0,1
96,0,29.69911764705882,0,0,8.05,27,0,0,0,1,0,1,0,0,1
97,0,71.0,0,0,34.6542,25,1,1,0,0,0,1,1,0,0
98,1,23.0,0,1,63.3583,31,1,1,0,0,0,1,1,0,0
99,1,34.0,0,1,23.0,36,0,0,1,0,1,0,0,0,1
100,0,34.0,1,0,26.0,17,0,0,1,0,0,1,0,0,1
101,0,28.0,0,0,7.8958,23,0,0,0,1,1,0,0,0,1
102,0,29.69911764705882,0,0,7.8958,32,0,0,0,1,0,1,0,0,1
103,0,21.0,0,1,77.2875,25,1,1,0,0,0,1,0,0,1
104,0,33.0,0,0,8.6542,26,0,0,0,1,0,1,0,0,1
105,0,37.0,2,0,7.925,30,0,0,0,1,0,1,0,0,1
106,0,28.0,0,0,7.8958,21,0,0,0,1,0,1,0,0,1
107,1,21.0,0,0,7.65,32,0,0,0,1,1,0,0,0,1
108,1,29.69911764705882,0,0,7.775,22,0,0,0,1,0,1,0,0,1
109,0,38.0,0,0,7.8958,15,0,0,0,1,0,1,0,0,1
110,1,29.69911764705882,1,0,24.15,19,0,0,0,1,1,0,0,1,0
111,0,47.0,0,0,52.0,30,1,1,0,0,0,1,0,0,1
112,0,14.5,1,0,14.4542,20,0,0,0,1,1,0,1,0,0
113,0,22.0,0,0,8.05,22,0,0,0,1,0,1,0,0,1
114,0,20.0,1,0,9.825,23,0,0,0,1,1,0,0,0,1
115,0,17.0,0,0,14.4583,21,0,0,0,1,1,0,1,0,0
116,0,21.0,0,0,7.925,21,0,0,0,1,0,1,0,0,1
117,0,70.5,0,0,7.75,20,0,0,0,1,0,1,0,1,0
118,0,29.0,1,0,21.0,31,0,0,1,0,0,1,0,0,1
119,0,24.0,0,1,247.5208,24,1,1,0,0,0,1,1,0,0
120,0,2.0,4,2,31.275,33,0,0,0,1,1,0,0,0,1
121,0,21.0,2,0,73.5,27,0,0,1,0,0,1,0,0,1
122,0,29.69911764705882,0,0,8.05,26,0,0,0,1,0,1,0,0,1
123,0,32.5,1,0,30.0708,20,0,0,1,0,0,1,1,0,0
124,1,32.5,0,0,13.0,19,1,0,1,0,1,0,0,0,1
125,0,54.0,0,1,77.2875,27,1,1,0,0,0,1,0,0,1
126,1,12.0,1,0,11.2417,28,0,0,0,1,0,1,1,0,0
127,0,29.69911764705882,0,0,7.75,19,0,0,0,1,0,1,0,1,0
128,1,24.0,0,0,7.1417,25,0,0,0,1,0,1,0,0,1
129,1,29.69911764705882,1,1,22.3583,17,1,0,0,1,1,0,1,0,0
130,0,45.0,0,0,6.975,18,0,0,0,1,0,1,0,0,1
131,0,33.0,0,0,7.8958,20,0,0,0,1,0,1,1,0,0
132,0,20.0,0,0,7.05,30,0,0,0,1,0,1,0,0,1
133,0,47.0,1,0,14.5,46,0,0,0,1,1,0,0,0,1
134,1,29.0,1,0,26.0,45,0,0,1,0,1,0,0,0,1
135,0,25.0,0,0,13.0,30,0,0,1,0,0,1,0,0,1
136,0,23.0,0,0,15.0458,18,0,0,1,0,0,1,1,0,0
137,1,19.0,0,2,26.2833,28,1,1,0,0,1,0,0,0,1
138,0,37.0,1,0,53.1,27,1,1,0,0,0,1,0,0,1
139,0,16.0,0,0,9.2167,19,0,0,0,1,0,1,0,0,1
140,0,24.0,0,0,79.2,18,1,1,0,0,0,1,1,0,0
141,0,29.69911764705882,0,2,15.2458,29,0,0,0,1,1,0,1,0,0
142,1,22.0,0,0,7.75,24,0,0,0,1,1,0,0,0,1
143,1,24.0,1,0,15.85,52,0,0,0,1,1,0,0,0,1
144,0,19.0,0,0,6.75,19,0,0,0,1,0,1,0,1,0
145,0,18.0,0,0,11.5,26,0,0,1,0,0,1,0,0,1
146,0,19.0,1,1,36.75,28,0,0,1,0,0,1,0,0,1
147,1,27.0,0,0,7.7958,44,0,0,0,1,0,1,0,0,1
148,0,9.0,2,2,34.375,32,0,0,0,1,1,0,0,0,1
149,0,36.5,0,2,26.0,40,1,0,1,0,0,1,0,0,1
150,0,42.0,0,0,13.0,33,0,0,1,0,0,1,0,0,1
151,0,51.0,0,0,12.525,26,0,0,1,0,0,1,0,0,1
152,1,22.0,1,0,66.6,33,1,1,0,0,1,0,0,0,1
153,0,55.5,0,0,8.05,16,0,0,0,1,0,1,0,0,1
154,0,40.5,0,2,14.5,31,0,0,0,1,0,1,0,0,1
155,0,29.69911764705882,0,0,7.3125,21,0,0,0,1,0,1,0,0,1
156,0,51.0,0,1,61.3792,27,0,1,0,0,0,1,1,0,0
157,1,16.0,0,0,7.7333,32,0,0,0,1,1,0,0,1,0
158,0,30.0,0,0,8.05,15,0,0,0,1,0,1,0,0,1
159,0,29.69911764705882,0,0,8.6625,19,0,0,0,1,0,1,0,0,1
160,0,29.69911764705882,8,2,69.55,26,0,0,0,1,0,1,0,0,1
161,0,44.0,0,1,16.1,24,0,0,0,1,0,1,0,0,1
162,1,40.0,0,0,15.75,50,0,0,1,0,1,0,0,0,1
163,0,26.0,0,0,7.775,26,0,0,0,1,0,1,0,0,1
164,0,17.0,0,0,8.6625,15,0,0,0,1,0,1,0,0,1
165,0,1.0,4,1,39.6875,28,0,0,0,1,0,1,0,0,1
166,1,9.0,0,2,20.525,47,0,0,0,1,0,1,0,0,1
167,1,29.69911764705882,0,1,55.0,38,1,1,0,0,1,0,0,0,1
168,0,45.0,1,4,27.9,47,0,0,0,1,1,0,0,0,1
169,0,29.69911764705882,0,0,25.925,19,0,1,0,0,0,1,0,0,1
170,0,28.0,0,0,56.4958,13,0,0,0,1,0,1,0,0,1
171,0,61.0,0,0,33.5,25,1,1,0,0,0,1,0,0,1
172,0,4.0,4,1,29.125,20,0,0,0,1,0,1,0,1,0
173,1,1.0,1,1,11.1333,28,0,0,0,1,1,0,0,0,1
174,0,21.0,0,0,7.925,25,0,0,0,1,0,1,0,0,1
175,0,56.0,0,0,30.6958,23,1,1,0,0,0,1,1,0,0
176,0,18.0,1,1,7.8542,22,0,0,0,1,0,1,0,0,1
177,0,29.69911764705882,3,1,25.4667,29,0,0,0,1,0,1,0,0,1
178,0,50.0,0,0,28.7125,26,1,1,0,0,1,0,1,0,0
179,0,30.0,0,0,13.0,18,0,0,1,0,0,1,0,0,1
180,0,36.0,0,0,0.0,19,0,0,0,1,0,1,0,0,1
181,0,29.69911764705882,8,2,69.55,28,0,0,0,1,1,0,0,0,1
182,0,29.69911764705882,0,0,15.05,16,0,0,1,0,0,1,1,0,0
183,0,9.0,4,2,31.3875,37,0,0,0,1,0,1,0,0,1
184,1,1.0,2,1,39.0,25,1,0,1,0,0,1,0,0,1
185,1,4.0,0,2,22.025,35,0,0,0,1,1,0,0,0,1
186,0,29.69911764705882,0,0,50.0,21,1,1,0,0,0,1,0,0,1
187,1,29.69911764705882,1,0,15.5,47,0,0,0,1,1,0,0,1,0
188,1,45.0,0,0,26.55,45,0,1,0,0,0,1,0,0,1
189,0,40.0,1,1,15.5,16,0,0,0,1,0,1,0,1,0
190,0,36.0,0,0,7.8958,19,0,0,0,1,0,1,0,0,1
191,1,32.0,0,0,13.0,19,0,0,1,0,1,0,0,0,1
192,0,19.0,0,0,13.0,21,0,0,1,0,0,1,0,0,1
193,1,19.0,1,0,7.8542,47,0,0,0,1,1,0,0,0,1
194,1,3.0,1,1,26.0,26,1,0,1,0,0,1,0,0,1
195,1,44.0,0,0,27.7208,41,1,1,0,0,1,0,1,0,0
196,1,58.0,0,0,146.5208,20,1,1,0,0,1,0,1,0,0
197,0,29.69911764705882,0,0,7.75,19,0,0,0,1,0,1,0,1,0
198,0,42.0,0,1,8.4042,32,0,0,0,1,0,1,0,0,1
199,1,29.69911764705882,0,0,7.75,32,0,0,0,1,1,0,0,1,0
200,0,24.0,0,0,13.0,38,0,0,1,0,1,0,0,0,1
201,0,28.0,0,0,9.5,30,0,0,0,1,0,1,0,0,1
202,0,29.69911764705882,8,2,69.55,19,0,0,0,1,0,1,0,0,1
203,0,34.0,0,0,6.4958,26,0,0,0,1,0,1,0,0,1
204,0,45.5,0,0,7.225,20,0,0,0,1,0,1,1,0,0
205,1,18.0,0,0,8.05,24,0,0,0,1,0,1,0,0,1
206,0,2.0,0,1,10.4625,26,1,0,0,1,1,0,0,0,1
207,0,32.0,1,0,15.85,26,0,0,0,1,0,1,0,0,1
208,1,26.0,0,0,18.7875,27,0,0,0,1,0,1,1,0,0
209,1,16.0,0,0,7.75,25,0,0,0,1,1,0,0,1,0
210,1,40.0,0,0,31.0,16,1,1,0,0,0,1,1,0,0
211,0,24.0,0,0,7.05,14,0,0,0,1,0,1,0,0,1
212,1,35.0,0,0,21.0,26,0,0,1,0,1,0,0,0,1
213,0,22.0,0,0,7.25,22,0,0,0,1,0,1,0,0,1
214,0,30.0,0,0,13.0,27,0,0,1,0,0,1,0,0,1
215,0,29.69911764705882,1,0,7.75,19,0,0,0,1,0,1,0,1,0
216,1,31.0,1,0,113.275,23,1,1,0,0,1,0,1,0,0
217,1,27.0,0,0,7.925,22,0,0,0,1,1,0,0,0,1
218,0,42.0,1,0,27.0,28,0,0,1,0,0,1,0,0,1
219,1,32.0,0,0,76.2917,21,1,1,0,0,1,0,1,0,0
220,0,30.0,0,0,10.5,18,0,0,1,0,0,1,0,0,1
221,1,16.0,0,0,8.05,30,0,0,0,1,0,1,0,0,1
222,0,27.0,0,0,13.0,20,0,0,1,0,0,1,0,0,1
223,0,51.0,0,0,8.05,23,0,0,0,1,0,1,0,0,1
224,0,29.69911764705882,0,0,7.8958,20,0,0,0,1,0,1,0,0,1
225,1,38.0,1,0,90.0,28,1,1,0,0,0,1,0,0,1
226,0,22.0,0,0,9.35,28,0,0,0,1,0,1,0,0,1
227,1,19.0,0,0,10.5,25,0,0,1,0,0,1,0,0,1
228,0,20.5,0,0,7.25,31,0,0,0,1,0,1,0,0,1
229,0,18.0,0,0,13.0,25,0,0,1,0,0,1,0,0,1
230,0,29.69911764705882,3,1,25.4667,23,0,0,0,1,1,0,0,0,1
231,1,35.0,1,0,83.475,44,1,1,0,0,1,0,0,0,1
232,0,29.0,0,0,7.775,24,0,0,0,1,0,1,0,0,1
233,0,59.0,0,0,13.5,25,0,0,1,0,0,1,0,0,1
234,1,5.0,4,2,31.3875,30,0,0,0,1,1,0,0,0,1
235,0,24.0,0,0,10.5,33,0,0,1,0,0,1,0,0,1
236,0,29.69911764705882,0,0,7.55,28,0,0,0,1,1,0,0,0,1
237,0,44.0,1,0,26.0,17,0,0,1,0,0,1,0,0,1
238,1,8.0,0,2,26.25,32,0,0,1,0,1,0,0,0,1
239,0,19.0,0,0,10.5,31,0,0,1,0,0,1,0,0,1
240,0,33.0,0,0,12.275,22,0,0,1,0,0,1,0,0,1
241,0,29.69911764705882,1,0,14.4542,21,0,0,0,1,1,0,1,0,0
242,1,29.69911764705882,1,0,15.5,30,0,0,0,1,1,0,0,1,0
243,0,29.0,0,0,10.5,31,0,0,1,0,0,1,0,0,1
244,0,22.0,0,0,7.125,29,0,0,0,1,0,1,0,0,1
245,0,30.0,0,0,7.225,20,0,0,0,1,0,1,1,0,0
246,0,44.0,2,0,90.0,27,1,1,0,0,0,1,0,1,0
247,0,25.0,0,0,7.775,37,0,0,0,1,1,0,0,0,1
248,1,24.0,0,2,14.5,31,0,0,1,0,1,0,0,0,1
249,1,37.0,1,1,52.5542,29,1,1,0,0,0,1,0,0,1
250,0,54.0,1,0,26.0,29,0,0,1,0,0,1,0,0,1
251,0,29.69911764705882,0,0,7.25,22,0,0,0,1,0,1,0,0,1
252,0,29.0,1,1,10.4625,42,1,0,0,1,1,0,0,0,1
253,0,62.0,0,0,26.55,25,1,1,0,0,0,1,0,0,1
254,0,30.0,1,0,16.1,24,0,0,0,1,0,1,0,0,1
255,0,41.0,0,2,20.2125,40,0,0,0,1,1,0,0,0,1
256,1,29.0,0,2,15.2458,39,0,0,0,1,1,0,1,0,0
257,1,29.69911764705882,0,0,79.2,30,0,1,0,0,1,0,1,0,0
258,1,30.0,0,0,86.5,20,1,1,0,0,1,0,0,0,1
259,1,35.0,0,0,512.3292,16,0,1,0,0,1,0,1,0,0
260,1,50.0,0,1,26.0,27,0,0,1,0,1,0,0,0,1
261,0,29.69911764705882,0,0,7.75,17,0,0,0,1,0,1,0,1,0
262,1,3.0,4,2,31.3875,33,0,0,0,1,0,1,0,0,1
263,0,52.0,1,1,79.65,17,1,1,0,0,0,1,0,0,1
264,0,40.0,0,0,0.0,21,1,1,0,0,0,1,0,0,1
265,0,29.69911764705882,0,0,7.75,18,0,0,0,1,1,0,0,1,0
266,0,36.0,0,0,10.5,17,0,0,1,0,0,1,0,0,1
267,0,16.0,4,1,39.6875,25,0,0,0,1,0,1,0,0,1
268,1,25.0,1,0,7.775,24,0,0,0,1,0,1,0,0,1
269,1,58.0,0,1,153.4625,45,1,1,0,0,1,0,0,0,1
270,1,35.0,0,0,135.6333,22,1,1,0,0,1,0,0,0,1
271,0,29.69911764705882,0,0,31.0,21,0,1,0,0,0,1,0,0,1
272,1,25.0,0,0,0.0,28,0,0,0,1,0,1,0,0,1
273,1,41.0,0,1,19.5,41,0,0,1,0,1,0,0,0,1
274,0,37.0,0,1,29.7,21,1,1,0,0,0,1,1,0,0
275,1,29.69911764705882,0,0,7.75,26,0,0,0,1,1,0,0,1,0
276,1,63.0,1,0,77.9583,33,1,1,0,0,1,0,0,0,1
277,0,45.0,0,0,7.75,33,0,0,0,1,1,0,0,0,1
278,0,29.69911764705882,0,0,0.0,27,0,0,1,0,0,1,0,0,1
279,0,7.0,4,1,29.125,18,0,0,0,1,0,1,0,1,0
280,1,35.0,1,1,20.25,32,0,0,0,1,1,0,0,0,1
281,0,65.0,0,0,7.75,16,0,0,0,1,0,1,0,1,0
282,0,28.0,0,0,7.8542,32,0,0,0,1,0,1,0,0,1
283,0,16.0,0,0,9.5,25,0,0,0,1,0,1,0,0,1
284,1,19.0,0,0,8.05,26,0,0,0,1,0,1,0,0,1
285,0,29.69911764705882,0,0,26.0,26,1,1,0,0,0,1,0,0,1
286,0,33.0,0,0,8.6625,19,0,0,0,1,0,1,1,0,0
287,1,30.0,0,0,9.5,23,0,0,0,1,0,1,0,0,1
288,0,22.0,0,0,7.8958,20,0,0,0,1,0,1,0,0,1
289,1,42.0,0,0,13.0,20,0,0,1,0,0,1,0,0,1
290,1,22.0,0,0,7.75,20,0,0,0,1,1,0,0,1,0
291,1,26.0,0,0,78.85,28,0,1,0,0,1,0,0,0,1
292,1,19.0,1,0,91.0792,39,1,1,0,0,1,0,1,0,0
293,0,36.0,0,0,12.875,22,1,0,1,0,0,1,1,0,0
294,0,24.0,0,0,8.85,19,0,0,0,1,1,0,0,0,1
295,0,24.0,0,0,7.8958,16,0,0,0,1,0,1,0,0,1
296,0,29.69911764705882,0,0,27.7208,17,0,1,0,0,0,1,1,0,0
297,0,23.5,0,0,7.2292,18,0,0,0,1,0,1,1,0,0
298,0,2.0,1,2,151.55,28,1,1,0,0,1,0,0,0,1
299,1,29.69911764705882,0,0,30.5,21,1,1,0,0,0,1,0,0,1
300,1,50.0,0,1,247.5208,47,1,1,0,0,1,0,1,0,0
301,1,29.69911764705882,0,0,7.75,40,0,0,0,1,1,0,0,1,0
302,1,29.69911764705882,2,0,23.25,18,0,0,0,1,0,1,0,1,0
303,0,19.0,0,0,0.0,31,0,0,0,1,0,1,0,0,1
304,1,29.69911764705882,0,0,12.35,19,1,0,1,0,1,0,0,1,0
305,0,29.69911764705882,0,0,8.05,33,0,0,0,1,0,1,0,0,1
306,1,0.92,1,2,151.55,30,1,1,0,0,0,1,0,0,1
307,1,29.69911764705882,0,0,110.8833,23,0,1,0,0,1,0,1,0,0
308,1,17.0,1,0,108.9,82,1,1,0,0,1,0,1,0,0
309,0,30.0,1,0,24.0,19,0,0,1,0,0,1,1,0,0
310,1,30.0,0,0,56.9292,30,1,1,0,0,1,0,1,0,0
311,1,24.0,0,0,83.1583,30,1,1,0,0,1,0,1,0,0
312,1,18.0,2,2,262.375,26,1,1,0,0,1,0,1,0,0
313,0,26.0,1,1,26.0,37,0,0,1,0,1,0,0,0,1
314,0,28.0,0,0,7.8958,22,0,0,0,1,0,1,0,0,1
315,0,43.0,1,1,26.25,18,0,0,1,0,0,1,0,0,1
316,1,26.0,0,0,7.8542,31,0,0,0,1,1,0,0,0,1
317,1,24.0,1,0,26.0,35,0,0,1,0,1,0,0,0,1
318,0,54.0,0,0,14.0,20,0,0,1,0,0,1,0,0,1
319,1,31.0,0,2,164.8667,24,1,1,0,0,1,0,0,0,1
320,1,40.0,1,1,134.5,56,1,1,0,0,1,0,1,0,0
321,0,22.0,0,0,7.25,18,0,0,0,1,0,1,0,0,1
322,0,27.0,0,0,7.8958,16,0,0,0,1,0,1,0,0,1
323,1,30.0,0,0,12.35,25,0,0,1,0,1,0,0,1,0
324,1,22.0,1,1,29.0,51,0,0,1,0,1,0,0,0,1
325,0,29.69911764705882,8,2,69.55,24,0,0,0,1,0,1,0,0,1
326,1,36.0,0,0,135.6333,24,1,1,0,0,1,0,1,0,0
327,0,61.0,0,0,6.2375,25,0,0,0,1,0,1,0,0,1
328,1,36.0,0,0,13.0,23,1,0,1,0,1,0,0,0,1
329,1,31.0,1,1,20.525,46,0,0,0,1,1,0,0,0,1
330,1,16.0,0,1,57.9792,28,1,1,0,0,1,0,1,0,0
331,1,29.69911764705882,2,0,23.25,18,0,0,0,1,1,0,0,1,0
332,0,45.5,0,0,28.5,19,1,1,0,0,0,1,0,0,1
333,0,38.0,0,1,153.4625,25,1,1,0,0,0,1,0,0,1
334,0,16.0,2,0,18.0,31,0,0,0,1,0,1,0,0,1
335,1,29.69911764705882,1,0,133.65,50,0,1,0,0,1,0,0,0,1
336,0,29.69911764705882,0,0,7.8958,18,0,0,0,1,0,1,0,0,1
337,0,29.0,1,0,66.6,25,1,1,0,0,0,1,0,0,1
338,1,41.0,0,0,134.5,31,1,1,0,0,1,0,1,0,0
339,1,45.0,0,0,8.05,21,0,0,0,1,0,1,0,0,1
340,0,45.0,0,0,35.5,28,1,1,0,0,0,1,0,0,1
341,1,2.0,1,1,26.0,30,1,0,1,0,0,1,0,0,1
342,1,24.0,3,2,263.0,30,1,1,0,0,1,0,0,0,1
343,0,28.0,0,0,13.0,26,0,0,1,0,0,1,0,0,1
344,0,25.0,0,0,13.0,42,0,0,1,0,0,1,0,0,1
345,0,36.0,0,0,13.0,23,0,0,1,0,0,1,0,0,1
346,1,24.0,0,0,13.0,29,1,0,1,0,1,0,0,0,1
347,1,40.0,0,0,13.0,25,0,0,1,0,1,0,0,0,1
348,1,29.69911764705882,1,0,16.1,41,0,0,0,1,1,0,0,0,1
349,1,3.0,1,1,15.9,38,0,0,0,1,0,1,0,0,1
350,0,42.0,0,0,8.6625,16,0,0,0,1,0,1,0,0,1
351,0,23.0,0,0,9.225,22,0,0,0,1,0,1,0,0,1
352,0,29.69911764705882,0,0,35.0,38,1,1,0,0,0,1,0,0,1
353,0,15.0,1,1,7.2292,18,0,0,0,1,0,1,1,0,0
354,0,25.0,1,0,17.8,25,0,0,0,1,0,1,0,0,1
355,0,29.69911764705882,0,0,7.225,17,0,0,0,1,0,1,1,0,0
356,0,28.0,0,0,9.5,27,0,0,0,1,0,1,0,0,1
357,1,22.0,0,1,55.0,27,1,1,0,0,1,0,0,0,1
358,0,38.0,0,0,13.0,25,0,0,1,0,1,0,0,0,1
359,1,29.69911764705882,0,0,7.8792,20,0,0,0,1,1,0,0,1,0
360,1,29.69911764705882,0,0,7.8792,33,0,0,0,1,1,0,0,1,0
361,0,40.0,1,4,27.9,18,0,0,0,1,0,1,0,0,1
362,0,29.0,1,0,27.7208,25,0,0,1,0,0,1,1,0,0
363,0,45.0,0,1,14.4542,31,0,0,0,1,1,0,1,0,0
364,0,35.0,0,0,7.05,15,0,0,0,1,0,1,0,0,1
365,0,29.69911764705882,1,0,15.5,19,0,0,0,1,0,1,0,1,0
366,0,30.0,0,0,7.25,30,0,0,0,1,0,1,0,0,1
367,1,60.0,1,0,75.25,48,1,1,0,0,1,0,1,0,0
368,1,29.69911764705882,0,0,7.2292,30,0,0,0,1,1,0,1,0,0
369,1,29.69911764705882,0,0,7.75,19,0,0,0,1,1,0,0,1,0
370,1,24.0,0,0,69.3,29,1,1,0,0,1,0,1,0,0
371,1,25.0,1,0,55.4417,27,1,1,0,0,0,1,1,0,0
372,0,18.0,1,0,6.4958,25,0,0,0,1,0,1,0,0,1
